volname: images/30__ArtAmpl=208.66_mu=30.61_Sigma=12.89_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 6
volname: images/30__ArtAmpl=208.76_mu=37.09_Sigma=14.77_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 4
volname: images/30__ArtAmpl=208.82_mu=34.24_Sigma=15.68_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 5
volname: images/30__ArtAmpl=209.11_mu=37.84_Sigma=14.94_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 6
volname: images/30__ArtAmpl=209.13_mu=34.54_Sigma=14.46_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 4
volname: images/30__ArtAmpl=209.43_mu=34.46_Sigma=13.92_SigSt=4.0_Bif=114_Spl=1_Fid=4_ED_BinModel__Stack.nrrd; Score: 3
volname: images/36__ArtAmpl=146.26_mu=25.74_Sigma=11.58_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 6
volname: images/36__ArtAmpl=148.33_mu=30.56_Sigma=10.36_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 4
volname: images/36__ArtAmpl=164.7_mu=27.19_Sigma=10.78_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 4
volname: images/36__ArtAmpl=165.96_mu=26.37_Sigma=10.82_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 8
volname: images/36__ArtAmpl=170.15_mu=27.35_Sigma=8.93_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 10
volname: images/36__ArtAmpl=172.61_mu=29.54_Sigma=12.57_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 4
volname: images/36__ArtAmpl=173.82_mu=30.46_Sigma=11.03_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 2
volname: images/36__ArtAmpl=173.8_mu=27.28_Sigma=12.26_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 5
volname: images/36__ArtAmpl=174.02_mu=27.0_Sigma=9.84_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 1
volname: images/36__ArtAmpl=175.66_mu=27.11_Sigma=11.11_SigSt=4.0_Bif=53_Spl=1_Fid=14_ED_BinModel__Stack.nrrd; Score: 7
volname: images/42__ArtAmpl=170.03_mu=29.02_Sigma=17.66_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 3
volname: images/42__ArtAmpl=171.66_mu=31.47_Sigma=15.28_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 6
volname: images/42__ArtAmpl=172.49_mu=29.06_Sigma=15.73_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 6
volname: images/42__ArtAmpl=172.88_mu=30.38_Sigma=15.25_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 6
volname: images/42__ArtAmpl=173.55_mu=34.07_Sigma=13.27_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 5
volname: images/42__ArtAmpl=173.76_mu=29.04_Sigma=12.0_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 7
volname: images/42__ArtAmpl=173.85_mu=28.58_Sigma=17.68_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 1
volname: images/42__ArtAmpl=173.88_mu=29.13_Sigma=17.9_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 1
volname: images/42__ArtAmpl=173.9_mu=34.76_Sigma=15.71_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 6
volname: images/42__ArtAmpl=174.06_mu=34.21_Sigma=16.52_SigSt=4.0_Bif=140_Spl=1_Fid=5_ED_BinModel__Stack.nrrd; Score: 1
volname: images/48__ArtAmpl=193.01_mu=25.51_Sigma=11.85_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 5
volname: images/48__ArtAmpl=193.02_mu=25.11_Sigma=12.39_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 5
volname: images/48__ArtAmpl=193.49_mu=25.76_Sigma=13.09_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 3
volname: images/48__ArtAmpl=193.7_mu=26.88_Sigma=14.98_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 1
volname: images/48__ArtAmpl=194.03_mu=28.71_Sigma=15.08_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 6
volname: images/48__ArtAmpl=194.39_mu=25.13_Sigma=15.61_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 7
volname: images/48__ArtAmpl=194.66_mu=28.15_Sigma=13.09_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 4
volname: images/48__ArtAmpl=195.02_mu=25.66_Sigma=10.46_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 3
volname: images/48__ArtAmpl=195.08_mu=29.67_Sigma=12.71_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 2
volname: images/48__ArtAmpl=195.24_mu=28.02_Sigma=13.12_SigSt=4.0_Bif=30_Spl=1_Fid=15_ED_BinModel__Stack.nrrd; Score: 3
volname: images/60__ArtAmpl=213.98_mu=52.41_Sigma=17.32_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 3
volname: images/60__ArtAmpl=214.72_mu=48.37_Sigma=19.33_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 9
volname: images/60__ArtAmpl=215.22_mu=47.18_Sigma=18.7_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 7
volname: images/60__ArtAmpl=215.25_mu=48.09_Sigma=19.99_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 9
volname: images/60__ArtAmpl=215.31_mu=51.44_Sigma=20.87_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 4
volname: images/60__ArtAmpl=215.31_mu=52.78_Sigma=20.17_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 8
volname: images/60__ArtAmpl=215.35_mu=45.83_Sigma=18.14_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 9
volname: images/60__ArtAmpl=215.62_mu=48.45_Sigma=17.63_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 6
volname: images/60__ArtAmpl=215.62_mu=51.41_Sigma=16.9_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 7
volname: images/60__ArtAmpl=215.62_mu=52.19_Sigma=19.19_SigSt=4.0_Bif=71_Spl=1_Fid=6_ED_BinModel__Stack.nrrd; Score: 1
volname: images/66__ArtAmpl=133.74_mu=35.98_Sigma=10.93_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 7
volname: images/66__ArtAmpl=143.38_mu=36.12_Sigma=9.57_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 7
volname: images/66__ArtAmpl=144.59_mu=33.93_Sigma=9.29_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 9
volname: images/66__ArtAmpl=145.14_mu=30.61_Sigma=10.55_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 8
volname: images/66__ArtAmpl=146.59_mu=35.26_Sigma=9.56_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 7
volname: images/66__ArtAmpl=153.93_mu=30.12_Sigma=10.01_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 5
volname: images/66__ArtAmpl=154.09_mu=31.8_Sigma=8.99_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 8
volname: images/66__ArtAmpl=154.11_mu=36.13_Sigma=10.04_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 8
volname: images/66__ArtAmpl=154.3_mu=32.88_Sigma=11.01_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 8
volname: images/66__ArtAmpl=154.45_mu=33.29_Sigma=9.79_SigSt=4.0_Bif=53_Spl=1_Fid=7_ED_BinModel__Stack.nrrd; Score: 8
volname: images/6__ArtAmpl=207.36_mu=47.43_Sigma=17.04_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 2
volname: images/6__ArtAmpl=208.45_mu=50.85_Sigma=16.88_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 4
volname: images/6__ArtAmpl=209.97_mu=41.51_Sigma=17.67_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 2
volname: images/6__ArtAmpl=210.34_mu=42.73_Sigma=16.77_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 7
volname: images/6__ArtAmpl=210.46_mu=47.56_Sigma=15.95_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 8
volname: images/6__ArtAmpl=210.93_mu=40.77_Sigma=17.04_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 7
volname: images/6__ArtAmpl=210.93_mu=46.95_Sigma=17.58_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 6
volname: images/6__ArtAmpl=210.94_mu=40.88_Sigma=15.34_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 4
volname: images/6__ArtAmpl=210.94_mu=43.68_Sigma=18.54_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 4
volname: images/6__ArtAmpl=210.94_mu=45.85_Sigma=16.61_SigSt=4.0_Bif=112_Spl=1_Fid=1_ED_BinModel__Stack.nrrd; Score: 6
volname: images/A1.nrrd; Score: 8
volname: images/A2.nrrd; Score: 3
volname: images/A3.nrrd; Score: 6
volname: images/A4.nrrd; Score: 1
volname: images/A5.nrrd; Score: 3
volname: images/start.nrrd; Score: 7
